Log start on, 2023-11-02 16:35:23
Feature, Acceleration
NodeName, HostTimestamp (ms), notificationTime, timeStamp, RawData, X (mg), Y (mg), Z (mg)
AM1V430 @A856F0, 12658, Thu Nov 02 16:35:35 GMT+01:00 2023, 11561, [41 45 -127 1 -88 -2 115 4 -45 -4 -103 -5 100 -6 121 0 118 -1 -96 -4], 385.0, -344.0, 1139.0
AM1V430 @A856F0, 12706, Thu Nov 02 16:35:35 GMT+01:00 2023, 11567, [47 45 0 2 -1 -2 99 3 39 -1 -15 -2 -84 -5 64 0 111 -1 -75 -4], 512.0, -257.0, 867.0
AM1V430 @A856F0, 12758, Thu Nov 02 16:35:36 GMT+01:00 2023, 11573, [53 45 10 2 60 -1 114 3 25 -2 4 -1 89 -3 37 0 115 -1 -69 -4], 522.0, -196.0, 882.0
AM1V430 @A856F0, 12810, Thu Nov 02 16:35:36 GMT+01:00 2023, 11580, [60 45 38 2 5 -1 -124 3 123 -2 43 2 -80 -4 12 0 108 -1 -46 -4], 550.0, -251.0, 900.0
AM1V430 @A856F0, 12862, Thu Nov 02 16:35:36 GMT+01:00 2023, 11586, [66 45 -43 1 45 -1 104 3 11 0 117 8 -34 -3 48 0 111 -1 -69 -4], 469.0, -211.0, 872.0
AM1V430 @A856F0, 12915, Thu Nov 02 16:35:36 GMT+01:00 2023, 11592, [72 45 32 1 -102 -1 36 4 -74 -1 -88 7 90 -3 111 0 114 -1 -91 -4], 288.0, -102.0, 1060.0
AM1V430 @A856F0, 12968, Thu Nov 02 16:35:36 GMT+01:00 2023, 11598, [78 45 -26 0 -101 -1 -55 3 -78 0 51 9 -92 -4 -76 0 127 -1 -111 -4], 230.0, -101.0, 969.0
AM1V430 @A856F0, 13007, Thu Nov 02 16:35:36 GMT+01:00 2023, 11605, [85 45 -5 -1 -73 -1 87 3 -69 0 -108 5 -111 -3 2 1 -127 -1 -114 -4], -5.0, -73.0, 855.0
AM1V430 @A856F0, 13053, Thu Nov 02 16:35:36 GMT+01:00 2023, 11611, [91 45 18 0 -87 -1 -8 3 39 -1 -3 -1 -70 -2 5 1 126 -1 -106 -4], 18.0, -87.0, 1016.0
AM1V430 @A856F0, 13111, Thu Nov 02 16:35:36 GMT+01:00 2023, 11617, [97 45 -87 -1 -84 -1 72 4 54 0 26 1 -19 -2 11 1 124 -1 -106 -4], -87.0, -84.0, 1096.0
AM1V430 @A856F0, 13161, Thu Nov 02 16:35:36 GMT+01:00 2023, 11623, [103 45 22 0 -26 -1 -94 3 -42 -1 -108 0 54 -2 2 1 120 -1 -102 -4], 22.0, -26.0, 930.0
AM1V430 @A856F0, 13211, Thu Nov 02 16:35:36 GMT+01:00 2023, 11630, [110 45 -63 -1 -78 -1 86 4 76 0 127 0 -105 -2 -12 0 120 -1 -108 -4], -63.0, -78.0, 1110.0
AM1V430 @A856F0, 13267, Thu Nov 02 16:35:36 GMT+01:00 2023, 11636, [116 45 -5 -1 -60 -1 -47 3 51 0 102 -1 15 -2 -6 0 123 -1 -97 -4], -5.0, -60.0, 977.0
AM1V430 @A856F0, 13319, Thu Nov 02 16:35:36 GMT+01:00 2023, 11642, [122 45 88 0 -111 -1 -30 3 -120 1 -67 2 98 -3 -13 0 -117 -1 -108 -4], 88.0, -111.0, 994.0
AM1V430 @A856F0, 13359, Thu Nov 02 16:35:36 GMT+01:00 2023, 11648, [-128 45 74 0 21 0 -106 3 -27 1 -51 3 -110 -5 0 1 -106 -1 -118 -4], 74.0, 21.0, 918.0
AM1V430 @A856F0, 13406, Thu Nov 02 16:35:36 GMT+01:00 2023, 11655, [-121 45 109 0 8 -1 70 3 12 1 -37 -4 -107 -11 -39 0 -85 -1 -124 -4], 109.0, -248.0, 838.0
AM1V430 @A856F0, 13462, Thu Nov 02 16:35:36 GMT+01:00 2023, 11661, [-115 45 -99 -2 -121 -1 -112 4 -18 -1 47 -3 -55 -9 117 0 -78 -1 -106 -4], -355.0, -121.0, 1168.0
AM1V430 @A856F0, 13515, Thu Nov 02 16:35:36 GMT+01:00 2023, 11667, [-109 45 -128 0 -84 -1 -19 3 97 0 -21 -2 -83 -5 75 0 -70 -1 -109 -4], 128.0, -84.0, 1005.0
AM1V430 @A856F0, 13564, Thu Nov 02 16:35:36 GMT+01:00 2023, 11673, [-103 45 -126 0 75 -1 53 4 9 -1 -126 -4 41 -9 19 0 -45 -1 -99 -4], 130.0, -181.0, 1077.0
AM1V430 @A856F0, 13617, Thu Nov 02 16:35:36 GMT+01:00 2023, 11680, [-96 45 32 0 -80 -1 122 4 -81 0 107 -1 106 -6 -21 -1 -16 -1 -84 -4], 32.0, -80.0, 1146.0
AM1V430 @A856F0, 13670, Thu Nov 02 16:35:36 GMT+01:00 2023, 11686, [-90 45 49 1 -94 -1 -23 3 -45 0 -66 0 -119 -8 -43 -1 25 0 -87 -4], 305.0, -94.0, 1001.0
AM1V430 @A856F0, 13711, Thu Nov 02 16:35:36 GMT+01:00 2023, 11692, [-84 45 55 -1 -37 -1 18 4 -89 -1 0 1 -53 -8 -43 -1 60 0 -93 -4], -201.0, -37.0, 1042.0
AM1V430 @A856F0, 13756, Thu Nov 02 16:35:37 GMT+01:00 2023, 11698, [-78 45 99 0 -67 -1 6 4 56 -1 -61 1 22 -6 -39 -1 84 0 -84 -4], 99.0, -67.0, 1030.0
AM1V430 @A856F0, 13810, Thu Nov 02 16:35:37 GMT+01:00 2023, 11705, [-71 45 -40 -2 -13 -1 62 4 10 -1 115 2 -7 -6 -9 -1 106 0 -106 -4], -296.0, -13.0, 1086.0
AM1V430 @A856F0, 13864, Thu Nov 02 16:35:37 GMT+01:00 2023, 11711, [-65 45 -83 0 -53 -1 58 4 116 -1 24 5 126 -4 30 0 114 0 -120 -4], 173.0, -53.0, 1082.0
AM1V430 @A856F0, 13912, Thu Nov 02 16:35:37 GMT+01:00 2023, 11717, [-59 45 -115 -3 -27 -1 76 4 -114 0 56 7 0 -4 112 0 126 0 109 -4], -627.0, -27.0, 1100.0
AM1V430 @A856F0, 13965, Thu Nov 02 16:35:37 GMT+01:00 2023, 11723, [-53 45 126 -2 -11 -1 -113 3 122 0 81 13 -42 -2 -6 0 -121 0 100 -4], -386.0, -11.0, 911.0
AM1V430 @A856F0, 14020, Thu Nov 02 16:35:37 GMT+01:00 2023, 11730, [-46 45 -66 -4 -44 -1 -42 2 77 0 -28 17 -75 -2 -47 1 121 0 -96 -4], -834.0, -44.0, 726.0
AM1V430 @A856F0, 14060, Thu Nov 02 16:35:37 GMT+01:00 2023, 11736, [-40 45 30 -3 7 0 96 1 -74 0 65 16 96 -1 113 2 120 0 29 -3], -738.0, 7.0, 352.0
AM1V430 @A856F0, 14107, Thu Nov 02 16:35:37 GMT+01:00 2023, 11742, [-34 45 102 -4 -25 -1 -36 -1 20 0 -58 13 91 -1 -42 2 106 0 -83 -3], -922.0, -25.0, -36.0
AM1V430 @A856F0, 14160, Thu Nov 02 16:35:37 GMT+01:00 2023, 11748, [-28 45 -79 -4 10 0 117 -2 72 0 77 11 -119 -1 -8 2 108 0 55 -2], -847.0, 10.0, -395.0
AM1V430 @A856F0, 14219, Thu Nov 02 16:35:37 GMT+01:00 2023, 11755, [-21 45 39 -3 -52 -1 114 -2 -65 -1 74 14 54 -2 -11 2 90 0 -50 -2], -729.0, -52.0, -398.0
AM1V430 @A856F0, 14266, Thu Nov 02 16:35:37 GMT+01:00 2023, 11761, [-15 45 -61 -3 -94 -1 90 -4 123 0 35 15 -42 -2 -74 2 81 0 127 -1], -573.0, -94.0, -934.0
